path,phase_hint,lines,functions,classes,imports,risks,parse_ok
core\phase_c\__init__.py,Unclassified,1,0,0,,,True
core\phase_b\ssr.py,Unclassified,16,0,0,,,True
core\regime\classifier.py,Unclassified,79,0,0,,,True
core\phase_c\alpha_generation\tests\test_alpha_generator.py,Phase D,28,0,0,,,True
core\phase_c\alpha_generation\templates.py,Phase D,14,0,0,,,True
core\regime\activation.py,Unclassified,47,0,0,,,True
core\phase_c\alpha_generation\__init__.py,Phase D,1,0,0,,,True
core\regime\health.py,Phase F,96,0,0,,,True
core\regime\taxonomy.py,Unclassified,70,0,0,,,True
core\regime\__init__.py,Unclassified,1,0,0,,,True
core\regime\retirement.py,Unclassified,63,0,0,,,True
core\regime\confidence.py,Unclassified,38,0,0,,,True
core\regime\drift.py,Unclassified,55,0,0,,,True
core\regime\tests\test_drift.py,Unclassified,60,0,0,,,True
core\regime\signals.py,Phase D,127,0,0,,,True
core\regime\tests\test_classifier_labels.py,Unclassified,31,0,0,,,True
core\regime\tests\test_activation.py,Unclassified,52,0,0,,,True
core\regime\tests\test_classifier.py,Unclassified,16,0,0,,,True
core\regime\tests\test_health.py,Phase F,47,0,0,,,True
core\regime\tests\test_confidence.py,Unclassified,66,0,0,,,True
core\runtime\deterministic_context.py,Unclassified,20,0,0,,,True
core\regime\tests\test_retirement.py,Unclassified,59,0,0,,,True
core\runtime\run_registry.py,Unclassified,70,0,0,,,True
core\regime\tests\test_signals.py,Phase D,50,0,0,,,True
core\safety\kill_switch.py,Unclassified,76,0,0,,,True
core\runtime\__init__.py,Unclassified,2,0,0,,,True
core\runtime\run_context.py,Unclassified,12,0,0,,,True
core\runtime\run_states.py,Unclassified,19,0,0,,,True
core\safety\scopes.py,Unclassified,8,0,0,,,True
core\regime\tests\test_taxonomy.py,Unclassified,12,0,0,,,True
core\safety\__init__.py,Unclassified,2,0,0,,,True
core\screening\decision.py,Unclassified,53,0,0,,,True
core\screening\engine.py,Unclassified,165,0,0,,,True
core\screening\rules.py,Unclassified,128,0,0,,,True
core\screening\scorer.py,Unclassified,81,0,0,,,True
core\screening\rule_types.py,Unclassified,8,0,0,,,True
core\screening\models.py,Unclassified,97,0,0,,,True
core\screening\result.py,Unclassified,20,0,0,,,True
core\screening\snapshot.py,Unclassified,20,0,0,,,True
core\screening\__init__.py,Unclassified,4,0,0,,,True
core\screening\tests\test_pipeline.py,Unclassified,22,0,0,,,True
core\screening\tests\test_decision.py,Unclassified,25,0,0,,,True
core\screening\screener_engine.py,Unclassified,65,0,0,,,True
core\screening\tests\test_rules.py,Unclassified,18,0,0,,,True
core\screening\universe.py,Unclassified,22,0,0,,,True
core\screening\pipeline.py,Unclassified,256,0,0,,,True
core\screening\tests\test_rule_types.py,Unclassified,8,0,0,,,True
core\screening\tests\__init__.py,Unclassified,2,0,0,,,True
core\screening\tests\test_scorer.py,Unclassified,18,0,0,,,True
core\state\system_state.py,Unclassified,30,0,0,,,True
core\screening\tests\test_universe.py,Unclassified,12,0,0,,,True
core\state\state_registry.py,Unclassified,62,0,0,,,True
core\strategy\kill_switch.py,Phase D,20,0,0,,,True
core\strategy\strategy_loader.py,Phase D,28,0,0,,,True
core\state\guards.py,Unclassified,25,0,0,,,True
core\strategy\strategy_state.py,Phase D,14,0,0,,,True
core\strategy\strategy_metadata.py,Phase C,133,0,0,,,True
